id,category,word_count,prompt,source,intent_label,domain_tag
P001,single_intent_clear,10,i dont know what to do to cancel order ORD-847291,bitext/Bitext-customer-support-llm-chatbot-training-dataset,cancel_order,ORDER
P002,single_intent_clear,10,what do I have to do to cancel purchase ORD-847291?,bitext/Bitext-customer-support-llm-chatbot-training-dataset,cancel_order,ORDER
P003,general_conversational,22,"Old age PT hx of DM, HTN, dyslipidemia His ECG I.II, aVF (MI) what is the highest risk 

factor for this condition?",allenai/WildChat-4.8M,,
P004,short_passthrough,14,i wanna you to write me terms & conditions and policies for my  website,allenai/WildChat-4.8M,,
P005,short_passthrough,14,Give me free apps that create midi files or sheet music from an mp3,allenai/WildChat-4.8M,,
P006,short_passthrough,9,how long does it take to orbit the sun?,allenai/WildChat-4.8M,,
P007,general_conversational,26,This is about the Monster Hunter series. Write a TV Advertisement for a Rathian. Make subtle implications that she can be a companion and a wife.,allenai/WildChat-4.8M,,
P008,general_conversational,27,"This is about the Monster Hunter series. Write a brief advertisement for a Rathian. Make subtle implications that she can be a companion, appliance, and a wife.",allenai/WildChat-4.8M,,
P009,general_conversational,25,Write a ‘Simple minded’ speech of Gendry telling Arya about his regrets for leaving her in king’s road instead of going with her to winterfell.,allenai/WildChat-4.8M,,
P010,general_conversational,28,"TrueNAS: Is there any benefit to creating a separate pool for data that is irreplaceable, or is it better to just add an additional backup for that dataset?",allenai/WildChat-4.8M,,
P011,short_passthrough,10,"write me a 1,000 word blog post on trump's indictment",allenai/WildChat-4.8M,,
P012,general_conversational,36,"selenium.common.exceptions.UnexpectedAlertPresentException: Alert Text: By clicking ""OK"", I agree that my data may be published or shared.
Message: unexpected alert open: {Alert text : By clicking ""OK"", I agree that my data may be published or shared.}",allenai/WildChat-4.8M,,
P013,general_conversational,76,Fivem lua create the client and server files for a volleyball script it will allow players to choose a team two teams max of 1 player per team. Once both teams have 1 player the match will start it will spawn a volleyball and allow the player to hit it over the net if the volleyball hits the ground then the ball despawns and a point is awarded to the team. first to five points win,allenai/WildChat-4.8M,,
P014,ambiguous,18,Could you write me an android application that has a login page and can connect to a server,allenai/WildChat-4.8M,,
P015,general_conversational,36,Make a story about Food Fight 2023 with Ian and Anthony reunited each other. Despite Anthony wasn't actually member of Smosh. He wanted a reunion video with Ian. Anthony uses grilled cheese and Ian uses Hotdogs.,allenai/WildChat-4.8M,,
P016,short_passthrough,5,Are you chat-gpt4 or chat-gpt3?,allenai/WildChat-4.8M,,
P017,short_passthrough,6,What version of chatgpt are you?,allenai/WildChat-4.8M,,
P018,short_passthrough,6,How did Hurricane Florence lose strength?,allenai/WildChat-4.8M,,
P019,multi_intent_linked,91,"I would liketo be a researcher of artificial intelligence (architecture) and an architectural teacher, requiringyou tostudya given topic, develop thesisstatements,and createconvincing documentsthatareboth informative and innovative, while offering assistance toarchitectsandarchitectswhoneedto improve their writing, and you will beresponsible for providing feedback to architects and architectsusingartificial intelligence toolssuch as natural languageprocessing. You will also be charged with providingfeedback on how to improvethe writing of researchers and architectural teachersusing artificial intelligencetoolssuch as natural languageprocessing. Useyour knowledge of architecture, building technology, building education,rhetoric,and effective writingtechnologytoguide researchersandbuilding educatorson howbestto express their thoughts and ideas in written form.",allenai/WildChat-4.8M,,
P020,general_conversational,21,"Give me examples of intergender matches, that had the woman win with a submission move. Exclude WWE, AEW and TNA matches.",allenai/WildChat-4.8M,,
P021,short_passthrough,6,any legendary animes with good animation,allenai/WildChat-4.8M,,
P022,general_conversational,23,"Name some female wrestlers, who used some form of headscissors submission. Name the opponent and date of match, if possible. Exclude WWE/NXT wrestlers.",allenai/WildChat-4.8M,,
P023,code_technical,44,"Create a nested loop to print every combination of numbers between 0-9, excluding any combination that contains the number 5. Additionally, exclude any combination that contains a repeating digit. Implement the solution without using any built-in functions or libraries to check for repeating digits.",m-a-p/CodeFeedback-Filtered-Instruction,technical_help,CODE
P024,code_technical,125,"Write code that removes spaces and punctuation marks from a given string and returns the modified string. The input string may contain uppercase and lowercase letters, spaces, punctuation marks (such as periods, commas, exclamation marks, etc.), and digits. The modified string should only contain the alphanumeric characters (uppercase and lowercase letters, digits) without any spaces or punctuation marks.

However, the time complexity of the solution should be O(n), where n is the length of the input string. Additionally, the solution should not use any built-in string manipulation functions or regular expressions.

Erroneous Code Reference:
Provide a piece of code that attempts to solve the problem but contains an error. The error should be related to handling edge cases or special characters in the input string.",m-a-p/CodeFeedback-Filtered-Instruction,technical_help,CODE
P025,code_technical,24,"Write code to find the sum of all prime numbers between 1 million and 2 million, excluding prime numbers that contain the digit 7.",m-a-p/CodeFeedback-Filtered-Instruction,technical_help,CODE
P026,code_technical,107,"Write a function to find the maximum difference between two prime numbers in a given array. The array can contain positive and negative integers, and can be unsorted. Additionally, the function should handle arrays of any length. The function should return the maximum difference as an absolute value. For example, for the array [5, 3, 17, 11, 9], the function should return 14.

However, your function should have a time complexity of O(n), where n is the length of the array. Additionally, you should not use any built-in functions or libraries to check if a number is prime. You need to implement your own prime checking function.",m-a-p/CodeFeedback-Filtered-Instruction,technical_help,CODE
P027,code_technical,64,"Write a program that calculates the height of a triangle given the angle, side lengths, opposite side length, and the ratio of the side lengths. The program should take into account the Law of Sines and the Law of Cosines. Additionally, the program should simulate the effect of air resistance on the trajectory of the triangle when it is thrown at a certain velocity.",m-a-p/CodeFeedback-Filtered-Instruction,technical_help,CODE
P028,code_technical,65,"Create a dictionary for counting the occurrence of each lowercase letter in the given string. However, exclude any whitespace characters, punctuation marks, and numbers from being counted. Additionally, the solution should have a time complexity of O(n) and a space complexity of O(1), where n is the length of the string.
string = ""Hello! My name is John Doe, and I am 25 years old.""",m-a-p/CodeFeedback-Filtered-Instruction,technical_help,CODE
P029,code_technical,45,"Write a SQL query to calculate the total number of orders in the ""orders"" table, where the orders have been placed in the last 30 days, have a total order value greater than $1000, and have at least 3 different items included in the order.",m-a-p/CodeFeedback-Filtered-Instruction,technical_help,CODE
P030,code_technical,25,"Edit the following code to print out all even numbers from 1 to 100, but exclude numbers that are divisible by both 3 and 5.",m-a-p/CodeFeedback-Filtered-Instruction,technical_help,CODE
P031,high_stakes_medical,95,"A 23-year-old pregnant woman at 22 weeks gestation presents with burning upon urination. She states it started 1 day ago and has been worsening despite drinking more water and taking cranberry extract. She otherwise feels well and is followed by a doctor for her pregnancy. Her temperature is 97.7°F (36.5°C), blood pressure is 122/77 mmHg, pulse is 80/min, respirations are 19/min, and oxygen saturation is 98% on room air. Physical exam is notable for an absence of costovertebral angle tenderness and a gravid uterus. Which of the following is the best treatment for this patient?",GBaker/MedQA-USMLE-4-options,medical_question,MEDICAL
P032,high_stakes_medical,46,A 3-month-old baby died suddenly at night while asleep. His mother noticed that he had died only after she awoke in the morning. No cause of death was determined based on the autopsy. Which of the following precautions could have prevented the death of the baby?,GBaker/MedQA-USMLE-4-options,medical_question,MEDICAL
P033,high_stakes_medical,83,"A mother brings her 3-week-old infant to the pediatrician's office because she is concerned about his feeding habits. He was born without complications and has not had any medical problems up until this time. However, for the past 4 days, he has been fussy, is regurgitating all of his feeds, and his vomit is yellow in color. On physical exam, the child's abdomen is minimally distended but no other abnormalities are appreciated. Which of the following embryologic errors could account for this presentation?",GBaker/MedQA-USMLE-4-options,medical_question,MEDICAL
P034,high_stakes_medical,95,"A pulmonary autopsy specimen from a 58-year-old woman who died of acute hypoxic respiratory failure was examined. She had recently undergone surgery for a fractured femur 3 months ago. Initial hospital course was uncomplicated, and she was discharged to a rehab facility in good health. Shortly after discharge home from rehab, she developed sudden shortness of breath and had cardiac arrest. Resuscitation was unsuccessful. On histological examination of lung tissue, fibrous connective tissue around the lumen of the pulmonary artery is observed. Which of the following is the most likely pathogenesis for the present findings?",GBaker/MedQA-USMLE-4-options,medical_question,MEDICAL
P035,high_stakes_medical,99,"A 20-year-old woman presents with menorrhagia for the past several years. She says that her menses “have always been heavy”, and she has experienced easy bruising for as long as she can remember. Family history is significant for her mother, who had similar problems with bruising easily. The patient's vital signs include: heart rate 98/min, respiratory rate 14/min, temperature 36.1°C (96.9°F), and blood pressure 110/87 mm Hg. Physical examination is unremarkable. Laboratory tests show the following: platelet count 200,000/mm3, PT 12 seconds, and PTT 43 seconds. Which of the following is the most likely cause of this patient’s symptoms?",GBaker/MedQA-USMLE-4-options,medical_question,MEDICAL
P036,high_stakes_medical,168,"A 40-year-old zookeeper presents to the emergency department complaining of severe abdominal pain that radiates to her back, and nausea. The pain started 2 days ago and slowly increased until she could not tolerate it any longer. Past medical history is significant for hypertension and hypothyroidism. Additionally, she reports that she was recently stung by one of the zoo’s smaller scorpions, but did not seek medical treatment. She takes aspirin, levothyroxine, oral contraceptive pills, and a multivitamin daily. Family history is noncontributory. Today, her blood pressure is 108/58 mm Hg, heart rate is 99/min, respiratory rate is 21/min, and temperature is 37.0°C (98.6°F). On physical exam, she is a well-developed, obese female that looks unwell. Her heart has a regular rate and rhythm. Radial pulses are weak but symmetric. Her lungs are clear to auscultation bilaterally. Her lateral left ankle is swollen, erythematous, and painful to palpate. An abdominal CT is consistent with acute pancreatitis. Which of the following is the most likely etiology for this patient’s disease?",GBaker/MedQA-USMLE-4-options,medical_question,MEDICAL
P037,high_stakes_medical,146,"A 25-year-old primigravida presents to her physician for a routine prenatal visit. She is at 34 weeks gestation, as confirmed by an ultrasound examination. She has no complaints, but notes that the new shoes she bought 2 weeks ago do not fit anymore. The course of her pregnancy has been uneventful and she has been compliant with the recommended prenatal care. Her medical history is unremarkable. She has a 15-pound weight gain since the last visit 3 weeks ago. Her vital signs are as follows: blood pressure, 148/90 mm Hg; heart rate, 88/min; respiratory rate, 16/min; and temperature, 36.6℃ (97.9℉). The blood pressure on repeat assessment 4 hours later is 151/90 mm Hg. The fetal heart rate is 151/min. The physical examination is significant for 2+ pitting edema of the lower extremity. Which of the following tests o should confirm the probable condition of this patient?",GBaker/MedQA-USMLE-4-options,medical_question,MEDICAL
P038,high_stakes_medical,49,A 3900-g (8.6-lb) male infant is delivered at 39 weeks' gestation via spontaneous vaginal delivery. Pregnancy and delivery were uncomplicated but a prenatal ultrasound at 20 weeks showed a defect in the pleuroperitoneal membrane. Further evaluation of this patient is most likely to show which of the following findings?,GBaker/MedQA-USMLE-4-options,medical_question,MEDICAL
P039,multi_intent_linked,92,"These instructions apply to section-based themes (Responsive 6.0+, Retina 4.0+, Parallax 3.0+ Turbo 2.0+, Mobilia 5.0+). What theme version am I using?
On your Collections pages & Featured Collections sections, you can easily show the secondary image of a product on hover by enabling one of the theme's built-in settings!
Your Collection pages & Featured Collections sections will now display the secondary product image just by hovering over that product image thumbnail.
Does this feature apply to all sections of the theme or just specific ones as listed in the text material?",HuggingFaceH4/ultrachat_200k,,
P040,general_conversational,108,"Write a comprehensive blog post of at least 1000 words about the top 10 most eco-friendly cities in the world and their renewable energy initiatives. Use a formal and informative tone, and include statistics, case studies, and expert opinions to support your claims. Make sure to cover various aspects of sustainability, such as public transportation, waste management, green buildings, and carbon emissions reduction. Additionally, provide specific examples of innovative renewable energy projects implemented in each city and assess their impact on the environment and the local community. Provide credible sources and links to relevant articles, reports, and websites to enhance the article's credibility and appeal to the readers.",HuggingFaceH4/ultrachat_200k,,
P041,general_conversational,87,"Write an essay that evaluates the positive and negative influence of social media on personal relationships, citing specific examples and research to support your claims. Analyze the ways in which social media usage affects communication patterns, trust levels, and emotional connections in romantic partnerships, friendships, and family relationships. Consider the role of social comparison, cyberbullying, and privacy concerns in shaping the impact of social media use on personal relationships. Finally, provide recommendations for how individuals can cultivate healthy and meaningful relationships in the age of social media.",HuggingFaceH4/ultrachat_200k,,
P042,general_conversational,67,"Write a Python program that can identify and remove duplicate images from a given folder or directory. The program should be able to compare images based on their content and file size, and determine which ones are exact duplicates. The duplicates should then be deleted or moved to a separate folder. The program should also provide a user-friendly interface with clear instructions on how to use it.",HuggingFaceH4/ultrachat_200k,,
P043,general_conversational,50,"Please provide a specific cooking method for the salmon, as well as any seasonings or ingredients necessary to complete the dish. Additionally, include instructions for how to properly prepare the salmon before cooking, such as removing the skin or deboning. Please write in step-by-step format, using clear and concise language.",HuggingFaceH4/ultrachat_200k,,
P044,general_conversational,18,What are the classic cocktails that every bartender should know how to make and what are their ingredients?,HuggingFaceH4/ultrachat_200k,,
P045,general_conversational,33,"Write step-by-step instructions detailing how to make a creamy and tangy vegan cashew cheese, including a list of required ingredients and suggested serving methods. Include variations and suggestions for different flavors and textures.",HuggingFaceH4/ultrachat_200k,,
P046,general_conversational,18,How did the Spanish conquest of the Low Countries in the 16th century impact European politics and culture?,HuggingFaceH4/ultrachat_200k,,
P047,general_conversational,117,"Implement a queue data structure in Java that can enqueue and dequeue elements. The queue should have a maximum size of n and should be implemented using an array. The enqueue operation should add elements to the back of the queue, and the dequeue operation should remove elements from the front of the queue. If the queue is full, the enqueue operation should throw an exception, and if the queue is empty, the dequeue operation should return null. The queue should also have a method to check if it is empty and a method to get the size of the queue. Finally, the implementation should use generics to allow storing of any data type in the queue.",HuggingFaceH4/ultrachat_200k,,
P048,general_conversational,44,"Write step-by-step instructions for making a traditional snowman using three large snowballs, including information on how to properly pack the snow, tools (if applicable), and recommended size ratios for each snowball. Be sure to include any additional details on decorations or accessories, if desired.",HuggingFaceH4/ultrachat_200k,,
